date,delay,origin_city_name,dest_city_name,origin_weather,dest_weather
2019-02-25,-5.0,"Los Angeles, CA","San Diego, CA",Clear,Partially cloudy
2019-09-04,11.0,"Augusta, GA","Charlotte, NC",Clear,Partially cloudy
2019-06-09,84.0,"Newark, NJ","Chicago, IL",Partially cloudy,"Rain, Partially cloudy"
2019-11-12,-11.0,"Seattle, WA","Dallas-Fort Worth, TX","Rain, Partially cloudy",Partially cloudy
2019-01-01,5.0,"Newark, NJ","Cleveland, OH","Rain, Partially cloudy","Rain, Overcast"
2019-12-16,-1.0,"Philadelphia, PA","Scranton-Wilkes-Barre, PA","Rain, Partially cloudy","Snow, Partially cloudy"
2018-04-17,-16.0,"Chicago, IL","Tampa, FL",Partially cloudy,Clear
2018-09-28,-7.0,"Atlanta, GA","Washington, DC","Rain, Partially cloudy","Rain, Partially cloudy"
2019-07-23,10.0,"Las Vegas, NV","Houston, TX",Partially cloudy,"Rain, Partially cloudy"
2019-08-10,1.0,"Ontario, CA","San Jose, CA",Clear,Partially cloudy
2018-08-06,-27.0,"Denver, CO","Knoxville, TN","Rain, Partially cloudy","Rain, Partially cloudy"
2018-04-27,-12.0,"Austin, TX","Boston, MA",Partially cloudy,"Rain, Partially cloudy"
2018-01-01,-19.0,"Houston, TX","Lubbock, TX",Partially cloudy,Partially cloudy
2018-09-04,2.0,"San Juan, PR","Fort Lauderdale, FL","Rain, Partially cloudy","Rain, Partially cloudy"
2019-11-02,-23.0,"Dallas-Fort Worth, TX","Boston, MA",Clear,Partially cloudy
2019-07-30,-24.0,"Chicago, IL","Philadelphia, PA",Partially cloudy,Partially cloudy
2019-12-17,-8.0,"New York, NY","Chicago, IL","Rain, Partially cloudy",Partially cloudy
2018-02-20,-33.0,"Newark, NJ","Charleston, SC",Partially cloudy,Partially cloudy
2019-01-03,47.0,"Chicago, IL","Dallas-Fort Worth, TX",Clear,"Rain, Partially cloudy"
2018-08-18,-5.0,"Las Vegas, NV","Long Beach, CA",Clear,Partially cloudy
2018-07-12,6.0,"Chicago, IL","New York, NY",Partially cloudy,"Rain, Partially cloudy"
2018-01-09,-14.0,"Providence, RI","Philadelphia, PA",Partially cloudy,Partially cloudy
2018-04-08,-1.0,"Chicago, IL","Indianapolis, IN",Partially cloudy,Partially cloudy
2018-12-20,-15.0,"Anchorage, AK","Phoenix, AZ",Overcast,Clear
2019-11-07,-11.0,"Seattle, WA","Long Beach, CA",Partially cloudy,Partially cloudy
2019-11-15,-5.0,"Miami, FL","Chicago, IL","Rain, Partially cloudy",Partially cloudy
2019-11-05,-16.0,"Washington, DC","New York, NY",Partially cloudy,"Rain, Partially cloudy"
2018-10-28,57.0,"Chicago, IL","Columbus, OH","Rain, Overcast","Rain, Overcast"
2019-03-04,50.0,"Las Vegas, NV","Los Angeles, CA",Clear,Partially cloudy
2018-04-08,0.0,"Guam, TT","Saipan, TT","Rain, Partially cloudy",Partially cloudy
2019-05-26,-14.0,"Kona, HI","Honolulu, HI","Rain, Partially cloudy",Partially cloudy
2018-08-15,-19.0,"Birmingham, AL","Tampa, FL",Partially cloudy,"Rain, Partially cloudy"
2019-06-30,7.0,"Baltimore, MD","Fort Lauderdale, FL",Partially cloudy,"Rain, Partially cloudy"
2018-01-09,-8.0,"Los Angeles, CA","Austin, TX","Rain, Partially cloudy",Clear
2018-12-10,-10.0,"Los Angeles, CA","Santa Barbara, CA",Clear,Partially cloudy
2018-04-21,-6.0,"Houston, TX","Springfield, MO","Rain, Overcast","Rain, Partially cloudy"
2018-11-27,-16.0,"Dallas-Fort Worth, TX","Waco, TX",Clear,Clear
2018-12-09,-23.0,"St. Louis, MO","Los Angeles, CA",Clear,Clear
2018-01-20,-8.0,"Charlotte, NC","Springfield, MO",Clear,Partially cloudy
2018-12-10,-2.0,"Dallas-Fort Worth, TX","Tyler, TX",Clear,Clear
2018-11-22,-2.0,"Houston, TX","Denver, CO","Rain, Partially cloudy",Partially cloudy
2019-07-23,17.0,"Charlotte, NC","Providence, RI","Rain, Partially cloudy","Rain, Partially cloudy"
2018-10-07,12.0,"Montgomery, AL","Atlanta, GA",Clear,Partially cloudy
2019-08-05,25.0,"St. Louis, MO","Fort Lauderdale, FL",Clear,"Rain, Partially cloudy"
2019-06-08,-6.0,"Milwaukee, WI","Newark, NJ",Partially cloudy,Partially cloudy
2018-04-02,-20.0,"Fort Myers, FL","Detroit, MI",Partially cloudy,Clear
2018-05-08,-4.0,"Los Angeles, CA","Houston, TX",Clear,Partially cloudy
2018-12-06,-10.0,"Las Vegas, NV","San Francisco, CA","Rain, Overcast","Rain, Partially cloudy"
2018-07-27,6.0,"Las Vegas, NV","Phoenix, AZ",Clear,Partially cloudy
2018-07-28,-15.0,"Los Angeles, CA","Chicago, IL",Partially cloudy,Partially cloudy
2019-11-20,-10.0,"Memphis, TN","Houston, TX",Partially cloudy,Partially cloudy
